date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,dailyTotal_5,dailyTotal_6,dailyTotal_7,dailyTotal_8,227300_Compiled_0.csv
2018-02-06,7.709999999999999,,2.81,2.14,2.85,15.73,3.0700000000000003,9.94,,44.25
2018-02-07,5.03,1.11,2.1,1.87,1.82,0.94,6.579999999999999,7.12,,26.57
2018-02-08,4.78,,2.06,1.73,2.37,1.01,1.78,2.44,2.03,18.200000000000003
2018-02-09,6.869999999999999,1.12,0.99,1.78,2.47,,2.19,2.44,,17.86
2018-02-10,4.8,,1.4300000000000002,1.89,2.2,1.12,6.89,3.57,,21.9
2018-02-11,5.32,0.43,1.17,2.31,2.71,0.82,3.35,3.35,3.28,22.740000000000002
2018-02-12,6.540000000000001,,2.8,2.34,3.62,1.33,2.81,3.85,3.62,26.91
2018-02-13,5.760000000000002,,1.94,2.01,1.6,0.73,9.18,5.8100000000000005,5.53,32.56
2018-02-14,4.58,,1.87,1.96,2.11,,3.3500000000000005,4.78,5.6,24.25
2018-02-15,6.04,0.26,1.62,2.1,2.48,0.89,4.89,7.409999999999998,,25.689999999999998
2018-02-16,7.37,0.44,4.05,2.55,2.63,1.25,6.74,8.15,,33.18
2018-02-17,9.53,,3.93,3.5,3.27,1.73,11.85,4.78,4.12,42.71
2018-02-18,4.55,,2.78,2.58,2.2,,6.33,11.35,1.56,31.349999999999998
2018-02-19,5.51,1.38,2.81,2.55,3.21,1.0,9.4,18.35,,44.21
2018-02-20,5.36,0.78,2.45,2.11,1.7000000000000002,0.75,7.01,6.7,5.7,32.56
2018-02-21,6.5,,1.15,2.53,2.45,,1.99,8.309999999999999,1.91,24.84
2018-02-22,5.74,,1.38,1.69,2.19,0.95,3.96,5.18,6.24,27.330000000000005
2018-02-23,7.729999999999999,,2.12,2.49,2.84,1.26,3.81,7.729999999999999,1.57,29.549999999999997
2018-02-24,10.45,,3.47,2.76,3.1100000000000003,1.36,5.18,9.12,1.78,37.230000000000004
2018-02-25,12.46,0.42,1.4500000000000002,3.59,3.42,1.28,5.76,11.85,8.01,48.24
2018-02-26,3.96,,1.71,1.3,1.35,0.5,7.1400000000000015,5.8599999999999985,4.13,25.95
2018-02-27,7.5,,1.24,1.56,2.62,,7.860000000000001,8.559999999999999,2.07,31.410000000000004
