date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,253230_Compiled_0.csv
2020-01-15,0.34,0.22,0.7400000000000001,2.33,,3.6300000000000003
2020-01-16,0.27,0.19,0.4,2.4000000000000004,,3.2600000000000007
2020-01-17,0.5900000000000001,0.4400000000000001,0.75,1.19,,2.97
2020-01-18,0.6200000000000001,0.68,0.91,2.75,,4.960000000000001
2020-01-19,0.39,0.5900000000000001,0.6000000000000001,19.91,,21.490000000000002
2020-01-20,0.4,0.25,0.18,1.74,,2.5700000000000003
2020-01-21,0.73,0.6000000000000001,1.45,1.08,,3.8600000000000003
2020-01-22,0.53,0.41,0.55,0.2,,1.69
2020-01-23,0.37,0.65,0.1,,,1.12
2020-01-24,0.32,0.65,1.87,0.45,0.84,4.13
2020-01-25,0.59,0.52,0.34,7.700000000000001,,9.15
2020-01-26,3.3100000000000005,2.8600000000000003,2.42,20.61,,29.2
2020-01-27,0.96,0.5,0.84,2.61,,4.91
2020-01-28,0.36,0.52,0.48,,,1.3599999999999999
2020-01-29,0.79,0.79,1.43,3.35,,6.359999999999999
2020-01-30,0.27,0.5,0.3,0.05,,1.12
2020-01-31,0.4,0.31,0.6500000000000001,,,1.36
2020-02-01,0.55,0.73,0.8400000000000001,2.1,,4.220000000000001
2020-02-02,0.81,0.5,0.5,13.16,,14.97
2020-02-03,0.66,0.48,0.42,6.380000000000001,0.83,8.770000000000001
2020-02-04,0.52,0.7100000000000001,0.46,0.14,,1.83
2020-02-05,0.35000000000000003,0.37,0.17,,,0.89
2020-02-06,0.6799999999999999,0.4,0.36,1.56,,3.0
2020-02-07,0.64,0.75,0.41,,,1.8
2020-02-08,0.27,0.5,1.03,4.17,,5.97
2020-02-09,0.49,0.23,0.18,3.03,,3.9299999999999997
2020-02-10,0.12,0.46,0.55,1.35,,2.4800000000000004
2020-02-11,0.21,0.14,0.53,,,0.88
2020-02-12,0.09,0.07,0.09,,,0.25
2020-02-13,0.36,0.32,0.19,0.18,,1.0499999999999998
2020-02-14,0.47,0.26,0.34,6.4,,7.470000000000001
2020-02-15,0.19,0.33,0.28,0.12,,0.92
2020-02-16,0.27,0.31,0.41,0.16,,1.15
2020-02-17,0.24,0.17,0.3,,,0.71
2020-02-18,0.34,0.22,0.26,47.25,,48.07
2020-02-19,0.17,0.06,0.06,60.43,,60.72
2020-02-20,0.61,0.63,0.65,0.18,,2.0700000000000003
2020-02-21,0.36000000000000004,0.21,0.5599999999999999,0.64,,1.77
2020-02-22,0.5,0.45,0.54,6.92,,8.41
2020-02-23,0.58,0.12,0.8700000000000001,0.43,,2.0
2020-02-24,0.45,0.27,0.23,1.75,,2.7
2020-02-25,0.35,0.44,0.05,0.85,,1.69
2020-02-26,0.45,0.34,0.6699999999999999,,,1.46
2020-02-27,0.1,0.22,0.53,6.65,,7.5
