date,0.txt,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,264710_Compiled_0.csv
2020-03-10,455.93,,,,,,,,455.93
2020-03-11,308.25,,,,,,,,308.25
2020-03-12,275.09,,,,,,,,275.09
2020-03-13,259.28,,,,,,,,259.28
2020-03-14,302.5,,,,,,,,302.5
2020-03-15,229.02,,,,,,,,229.02
2020-03-16,162.37,,,,,,,,162.37
2020-03-17,194.56,,,18.1,,,5.56,,218.22
2020-03-18,166.05,,,,,,,,166.05
2020-03-19,1024.51,,,,,,,,1024.51
2020-03-20,338.2,,,,,,,,338.2
2020-03-21,396.35,,,,,,,,396.35
2020-03-22,274.6,,,,,,,,274.6
2020-03-23,204.14,,,,,,,,204.14
2020-03-24,192.11,,,,,,,,192.11
2020-03-25,170.39,,,,,,,,170.39
2020-03-26,172.58,,,,,,,,172.58
2020-03-27,175.27,,,,,,,,175.27
2020-03-28,207.68,,,,,,,,207.68
2020-03-29,226.91,,,,,,,,226.91
2020-03-30,234.86,,,,,,,,234.86
2020-03-31,163.46,,,,,,,,163.46
2020-04-01,194.98,,,,,,,,194.98
2020-04-02,162.38,,,,,,,,162.38
2020-04-03,168.59,,,,,,,,168.59
2020-04-04,126.09,,,,,,,,126.09
2020-04-05,172.89,,,,,,,,172.89
2020-04-06,148.1,,,,,,,,148.1
2020-04-07,290.51,,,,,,,,290.51
2020-04-08,145.04,17.38,,,,,,,162.42
2020-04-09,140.24,,,,,,,,140.24
2020-04-10,166.91,13.79,,,,,,,180.7
2020-04-11,134.8,,,,,,,,134.8
2020-04-12,220.02,,,,,,,,220.02
2020-04-13,191.84,,,,,,,,191.84
2020-04-14,233.07,,,,,,,,233.07
2020-04-15,589.24,,,,,,,,589.24
2020-04-16,282.34,,,,,,,,282.34
2020-04-17,321.02,,,,,,,,321.02
2020-04-18,266.18,,,,,,,,266.18
2020-04-19,328.02,,,,,,,,328.02
2020-04-20,457.63,,,,,,,,457.63
2020-04-21,1223.39,,,,,,,,1223.39
2020-04-22,755.39,,,,,,,,755.39
2020-04-23,1152.58,,,,,,,,1152.58
2020-04-24,436.62,,,,,,,,436.62
2020-04-25,758.39,8.96,,,,,,,767.35
2020-04-26,875.64,,,,,,,,875.64
2020-04-27,3835.75,,,,,,,,3835.75
2020-04-28,1323.82,,,,,,,,1323.82
2020-04-29,5758.77,,,,,,,,5758.77
2020-04-30,2635.85,,,,,,,,2635.85
2020-05-01,2442.4,,,,,,,,2442.4
2020-05-02,3515.15,,,,,,,,3515.15
2020-05-03,1770.56,14.37,,,,,,,1784.9299999999998
2020-05-04,3016.87,,,,,,,,3016.87
2020-05-05,4218.82,14.64,,,,,,,4233.46
2020-05-06,1945.46,,,,,,,,1945.46
2020-05-07,2487.84,,,,,,,,2487.84
2020-05-08,2687.71,,,,,,,,2687.71
2020-05-09,3516.5,,,,,,,,3516.5
2020-05-10,2212.36,,,,,,,,2212.36
2020-05-11,3284.86,,,,,,,,3284.86
2020-05-12,2787.75,,,,,,,,2787.75
2020-05-13,4351.2,,,,,,,,4351.2
2020-05-14,8878.7,,,,,,,,8878.7
2020-05-15,3667.78,10.1,,,,,,,3677.88
2020-05-16,4543.89,11.83,,,,,,,4555.72
2020-05-17,5625.71,,,,,,,,5625.71
2020-05-18,6569.71,,,,,,,,6569.71
2020-05-19,7174.44,21.3,,,,,,,7195.74
2020-05-20,7283.07,,,,,,,,7283.07
